" S.S. n. 106 ""Jonica"" ";;;;;;;;;;;;;;
 Lavori di costruzione del 3° Megalotto dall'innesto con la S.S. 534 (km 365+150) a Roseto Capo Spulico (km 400+000) ;;;;;;;;;;;;;;
TOMBINO SCATOLARE TO59;;;;pk 7+624;;;;;;;;;;
;;;;;;;;;;;;;;
PRELIEVO CAMPIONE;;;PARTE DI OPERA;;LABORATORIO;RISULTATI DELLE PROVE;;;;;;"Controllo di accettazione ""TIPO A""";;
Data;Rck;Verbale;Ubicazione;Denominazione;;Certificato;Data Prova;Rott. a gg.;R1;R2;R;Rmin;Rm;Rck effettiva
05/07/2024;40;CLS 9159;scatolare;fondazione;SIDERCEM S.r.l.;628268;05/08/2024;31;55,2;51,7;53,45;53,45;58,07;54,57
19/07/2024;40;CLS 9314;scatolare;fondazione;SIDERCEM S.r.l.;628404;27/08/2024;39;62,5;63,4;62,95;;;
27/07/2024;40;CLS 9406;scatolare;fondazione;SIDERCEM S.r.l.;628699;06/09/2024;41;55,7;59,9;57,8;;;
31/07/2024;40;CLS 9443;vasca di sbocco;fondazione;SIDERCEM S.r.l.;628699;06/09/2024;37;52,5;51,7;52,1;52,1;52,93;49,43
30/08/2024;40;CLS 9619;scatolare;elevazione ;SIDERCEM S.r.l.;629203;27/09/2024;28;50;54,2;52,1;;;
02/09/2024;40;CLS 9638;scatolare;elevazione ;SIDERCEM S.r.l.;629203;03/10/2024;31;56,3;52,9;54,6;;;
04/09/2024;40;CLS 9660;scatolare;elevazione ;SIDERCEM S.r.l.;629203;03/10/2024;29;47,4;46,2;46,8;46,8;50,67;47,17
04/09/2024;40;CLS 9661;scatolare;elevazione ;SIDERCEM S.r.l.;629203;03/10/2024;29;52;48,8;50,4;;;
05/09/2024;40;CLS 9672;scatolare;elevazione ;SIDERCEM S.r.l.;629203;09/10/2024;34;53,2;56,4;54,8;;;
10/09/2024;40;CLS 9722;scatolare;elevazione ;SIDERCEM S.r.l.;629385;09/10/2024;29;49,1;50;49,55;49,55;54,23;50,73
19/09/2024;40;CLS 9807;scatolare;soletta;SIDERCEM S.r.l.;629610;29/10/2024;40;62,2;56,8;59,5;;;
03/10/2024;40;CLS 9944;scatolare;soletta;SIDERCEM S.r.l.;629808;08/11/2024;36;53,6;53,7;53,65;;;
09/10/2024;40;CLS 9993;scatolare;soletta;SIDERCEM S.r.l.;629808;13/11/2024;35;55,4;55,1;55,25;52,85;54,3;50,8
22/10/2024;40;CLS 10102;vasca di sbocco;elevazione ;SIDERCEM S.r.l.;630075;22/11/2024;31;51,5;54,2;52,85;;;
25/03/2025;40;CLS 11192;vasca di imbocco;fondazione;SIDERCEM S.r.l.;632137;29/04/2025;35;57,5;52,1;54,8;;;
03/04/2025;40;CLS 11263;vasca di imbocco;elevazione ;SIDERCEM S.r.l.;632488;12/05/2025;39;55,1;54;54,55;54,55;54,55;51,05
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;IL DIRETTORE LAVORI;;
;;;;;;;;;;;;Ing. Biagio MARRA;;
